[2026-04-16T08:44:42.830166] Redirecting stdout/stderr to: logs/seq_256_batch_size_ablation/ldru_logs_2.txt
No tokenizer path provided, training will create a new tokenizer from the training text
Usage: python train_causal_ldru.py --tokenizer_path <path_to_tokenizer_file>
Example: python train_causal_ldru.py --tokenizer_path /path/to/your/tokenizer.model
Training with text file: ptb_train.txt
Using validation text file: ptb_val.txt
Using test text file for model testing: ptb_test.txt
Creating dataset from text file...
Using SPTokenizer for subword tokenization.
Tokenizer model will be saved to: tokenizers/ptb_tokenizer_vocab1000_seq256_for_ldru_seq256_2_model_ldru_seq2seq_silu_default_256_SP.model
Tokenizer vocab size: 1000
Creating training dataset from text file...
Loading text from: ptb_train.txt
Tokenizing text...
Total tokens: 1,735,164
Created 13,554 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 13,554
\nSample sequence: 'john lehman 's editorial-page article on the pentagon as a  ⁇ unk ⁇  house  ⁇ unk ⁇  the real roots ...'
Creating validation dataset from text file...
Loading text from: ptb_val.txt
Tokenizing text...
Total tokens: 135,593
Created 1,058 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 1,058
Validation sequences: 1,058
Creating test dataset from text file...
Loading text from: ptb_test.txt
Tokenizing text...
Total tokens: 154,133
Created 1,203 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 1,203
Test sequences: 1,203
Created evaluation model with dropout disabled
Initializing model...
Checkpoints will be saved to: checkpoints
Model has 4,630,600 parameters
Initial learning rate: 1.00e-03
Starting training...

Epoch 1/100

Training: 133it [02:23, 42.89it/s, Loss=5.1730, Acc=0.1551, PPL=226.1, LR=1.00e-03]
Training: 133it [02:23, 42.89it/s, Loss=5.1664, Acc=0.1557, PPL=225.0, LR=1.00e-03]
Training: 133it [02:23, 42.89it/s, Loss=5.1584, Acc=0.1566, PPL=223.7, LR=1.00e-03]
Training: 133it [02:23, 42.89it/s, Loss=5.1523, Acc=0.1571, PPL=222.6, LR=1.00e-03]
Training: 133it [02:23, 42.89it/s, Loss=5.1464, Acc=0.1576, PPL=221.6, LR=1.00e-03]
Training: 133it [02:23, 42.89it/s, Loss=5.1402, Acc=0.1582, PPL=220.5, LR=1.00e-03]
Training: 133it [02:23, 42.89it/s, Loss=5.1348, Acc=0.1586, PPL=219.5, LR=1.00e-03]
Training: 133it [02:23, 42.89it/s, Loss=5.1300, Acc=0.1588, PPL=218.5, LR=1.00e-03]
Training: 140it [02:23, 47.09it/s, Loss=5.1300, Acc=0.1588, PPL=218.5, LR=1.00e-03]
Training: 140it [02:24, 47.09it/s, Loss=5.1237, Acc=0.1594, PPL=217.5, LR=1.00e-03]
Training: 140it [02:24, 47.09it/s, Loss=5.1189, Acc=0.1598, PPL=216.6, LR=1.00e-03]
Training: 140it [02:24, 47.09it/s, Loss=5.1134, Acc=0.1602, PPL=215.6, LR=1.00e-03]
Training: 140it [02:24, 47.09it/s, Loss=5.1074, Acc=0.1608, PPL=214.6, LR=1.00e-03]
Training: 140it [02:24, 47.09it/s, Loss=5.1014, Acc=0.1613, PPL=213.6, LR=1.00e-03]
Training: 140it [02:24, 47.09it/s, Loss=5.0955, Acc=0.1619, PPL=212.6, LR=1.00e-03]
Training: 140it [02:24, 47.09it/s, Loss=5.0894, Acc=0.1624, PPL=211.6, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0894, Acc=0.1624, PPL=211.6, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0830, Acc=0.1630, PPL=210.6, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0770, Acc=0.1636, PPL=209.6, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0712, Acc=0.1641, PPL=208.7, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0662, Acc=0.1644, PPL=207.8, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0615, Acc=0.1648, PPL=206.9, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0561, Acc=0.1652, PPL=206.0, LR=1.00e-03]
Training: 147it [02:24, 50.51it/s, Loss=5.0508, Acc=0.1656, PPL=205.1, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0508, Acc=0.1656, PPL=205.1, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0456, Acc=0.1661, PPL=204.3, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0392, Acc=0.1668, PPL=203.3, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0342, Acc=0.1672, PPL=202.5, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0294, Acc=0.1676, PPL=201.6, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0252, Acc=0.1680, PPL=200.9, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0202, Acc=0.1684, PPL=200.0, LR=1.00e-03]
Training: 154it [02:24, 53.34it/s, Loss=5.0154, Acc=0.1687, PPL=199.2, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=5.0154, Acc=0.1687, PPL=199.2, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=5.0107, Acc=0.1691, PPL=198.4, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=5.0060, Acc=0.1695, PPL=197.6, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=5.0012, Acc=0.1699, PPL=196.8, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=4.9970, Acc=0.1702, PPL=196.1, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=4.9917, Acc=0.1707, PPL=195.3, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=4.9863, Acc=0.1712, PPL=194.5, LR=1.00e-03]
Training: 161it [02:24, 55.49it/s, Loss=4.9807, Acc=0.1717, PPL=193.7, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9807, Acc=0.1717, PPL=193.7, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9755, Acc=0.1721, PPL=192.9, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9714, Acc=0.1724, PPL=192.2, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9670, Acc=0.1728, PPL=191.4, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9621, Acc=0.1732, PPL=190.7, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9585, Acc=0.1734, PPL=190.0, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9532, Acc=0.1740, PPL=189.3, LR=1.00e-03]
Training: 168it [02:24, 56.48it/s, Loss=4.9484, Acc=0.1744, PPL=188.5, LR=1.00e-03]
Training: 175it [02:24, 57.80it/s, Loss=4.9484, Acc=0.1744, PPL=188.5, LR=1.00e-03]
Training: 175it [02:24, 57.80it/s, Loss=4.9438, Acc=0.1748, PPL=187.8, LR=1.00e-03]
Training: 175it [02:24, 57.80it/s, Loss=4.9393, Acc=0.1752, PPL=187.1, LR=1.00e-03]
