[2026-04-16T08:20:06.513736] Redirecting stdout/stderr to: logs/seq_128_batch_size_ablation/lstm_logs.txt
No tokenizer path provided, training will create a new tokenizer from the training text
Usage: python train_causal_ldru.py --tokenizer_path <path_to_tokenizer_file>
Example: python train_causal_ldru.py --tokenizer_path /path/to/your/tokenizer.model
Training with text file: ptb_train.txt
Using validation text file: ptb_val.txt
Using test text file for model testing: ptb_test.txt
Creating dataset from text file...
Using SPTokenizer for subword tokenization.
Tokenizer model will be saved to: tokenizers/ptb_tokenizer_vocab1000_seq128_for_lstm_seq128_model_lstm_seq2seq_silu_default_128_SP.model
Tokenizer vocab size: 1000
Creating training dataset from text file...
Loading text from: ptb_train.txt
Tokenizing text...
Total tokens: 1,735,164
Created 27,110 sequences of length 128
Each sequence: [context tokens (length 127)] -> [target token]
All sequences used for dataset: 27,110
\nSample sequence: 'and the ec  ⁇ unk ⁇  capital movements since then the government has left observers wondering if it ...'
Creating validation dataset from text file...
Loading text from: ptb_val.txt
Tokenizing text...
Total tokens: 135,593
Created 2,117 sequences of length 128
Each sequence: [context tokens (length 127)] -> [target token]
All sequences used for dataset: 2,117
Validation sequences: 2,117
Creating test dataset from text file...
Loading text from: ptb_test.txt
Tokenizing text...
Total tokens: 154,133
Created 2,407 sequences of length 128
Each sequence: [context tokens (length 127)] -> [target token]
All sequences used for dataset: 2,407
Test sequences: 2,407
Created evaluation model with dropout disabled
Initializing model...
Checkpoints will be saved to: checkpoints
Model has 1,322,200 parameters
Initial learning rate: 1.00e-03
Starting training...

Epoch 1/100

Training: 97it [16:50,  1.10it/s, Loss=5.3326, Acc=0.1621, PPL=235.7, LR=1.00e-03]
Training: 97it [16:50,  1.10it/s, Loss=5.3284, Acc=0.1624, PPL=234.7, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3284, Acc=0.1624, PPL=234.7, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3220, Acc=0.1632, PPL=233.5, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3174, Acc=0.1640, PPL=232.5, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3142, Acc=0.1642, PPL=231.7, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3116, Acc=0.1667, PPL=231.0, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3090, Acc=0.1680, PPL=230.3, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3046, Acc=0.1681, PPL=229.3, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.3023, Acc=0.1689, PPL=228.7, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.2981, Acc=0.1685, PPL=227.8, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.2913, Acc=0.1692, PPL=226.6, LR=1.00e-03]
Training: 107it [16:50,  1.59it/s, Loss=5.2887, Acc=0.1693, PPL=225.9, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2887, Acc=0.1693, PPL=225.9, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2846, Acc=0.1706, PPL=225.0, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2799, Acc=0.1707, PPL=224.1, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2783, Acc=0.1703, PPL=223.6, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2750, Acc=0.1694, PPL=222.8, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2708, Acc=0.1691, PPL=221.9, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2682, Acc=0.1682, PPL=221.3, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2639, Acc=0.1683, PPL=220.4, LR=1.00e-03]
Training: 117it [16:50,  2.27it/s, Loss=5.2593, Acc=0.1685, PPL=219.5, LR=1.00e-03]
Training: 117it [16:51,  2.27it/s, Loss=5.2549, Acc=0.1687, PPL=218.7, LR=1.00e-03]
Training: 117it [16:51,  2.27it/s, Loss=5.2488, Acc=0.1693, PPL=217.6, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2488, Acc=0.1693, PPL=217.6, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2446, Acc=0.1699, PPL=216.8, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2413, Acc=0.1696, PPL=216.1, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2395, Acc=0.1707, PPL=215.6, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2344, Acc=0.1718, PPL=214.7, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2312, Acc=0.1714, PPL=214.0, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2287, Acc=0.1711, PPL=213.4, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2247, Acc=0.1716, PPL=212.6, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2208, Acc=0.1731, PPL=211.8, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2181, Acc=0.1737, PPL=211.2, LR=1.00e-03]
Training: 127it [16:51,  3.24it/s, Loss=5.2149, Acc=0.1738, PPL=210.5, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.2149, Acc=0.1738, PPL=210.5, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.2107, Acc=0.1735, PPL=209.8, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.2074, Acc=0.1740, PPL=209.1, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.2036, Acc=0.1737, PPL=208.4, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.1967, Acc=0.1742, PPL=207.4, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.1942, Acc=0.1734, PPL=206.8, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.1903, Acc=0.1740, PPL=206.1, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.1871, Acc=0.1736, PPL=205.4, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.1840, Acc=0.1737, PPL=204.8, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.1807, Acc=0.1747, PPL=204.1, LR=1.00e-03]
Training: 137it [16:51,  4.57it/s, Loss=5.1768, Acc=0.1752, PPL=203.4, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1768, Acc=0.1752, PPL=203.4, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1739, Acc=0.1753, PPL=202.8, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1710, Acc=0.1745, PPL=202.3, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1690, Acc=0.1746, PPL=201.8, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1658, Acc=0.1751, PPL=201.1, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1626, Acc=0.1760, PPL=200.5, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1603, Acc=0.1765, PPL=200.0, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1552, Acc=0.1769, PPL=199.2, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1515, Acc=0.1766, PPL=198.6, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1481, Acc=0.1767, PPL=198.0, LR=1.00e-03]
Training: 147it [16:51,  6.41it/s, Loss=5.1450, Acc=0.1787, PPL=197.4, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1450, Acc=0.1787, PPL=197.4, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1417, Acc=0.1800, PPL=196.8, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1385, Acc=0.1820, PPL=196.2, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1356, Acc=0.1816, PPL=195.6, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1321, Acc=0.1840, PPL=195.0, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1282, Acc=0.1848, PPL=194.4, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1254, Acc=0.1848, PPL=193.8, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1210, Acc=0.1856, PPL=193.1, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1169, Acc=0.1864, PPL=192.5, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1121, Acc=0.1871, PPL=191.8, LR=1.00e-03]
Training: 157it [16:51,  8.91it/s, Loss=5.1088, Acc=0.1875, PPL=191.2, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.1088, Acc=0.1875, PPL=191.2, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.1055, Acc=0.1868, PPL=190.6, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.1020, Acc=0.1871, PPL=190.1, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0990, Acc=0.1868, PPL=189.5, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0953, Acc=0.1868, PPL=188.9, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0923, Acc=0.1875, PPL=188.4, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0891, Acc=0.1886, PPL=187.8, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0861, Acc=0.1889, PPL=187.3, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0822, Acc=0.1889, PPL=186.7, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0795, Acc=0.1886, PPL=186.2, LR=1.00e-03]
Training: 167it [16:51, 12.24it/s, Loss=5.0771, Acc=0.1896, PPL=185.8, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0771, Acc=0.1896, PPL=185.8, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0728, Acc=0.1893, PPL=185.1, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0698, Acc=0.1885, PPL=184.6, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0663, Acc=0.1889, PPL=184.1, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0640, Acc=0.1885, PPL=183.6, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0603, Acc=0.1878, PPL=183.1, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0587, Acc=0.1885, PPL=182.7, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0550, Acc=0.1892, PPL=182.1, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0518, Acc=0.1889, PPL=181.6, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0488, Acc=0.1888, PPL=181.1, LR=1.00e-03]
Training: 177it [16:51, 16.53it/s, Loss=5.0451, Acc=0.1888, PPL=180.6, LR=1.00e-03]
Training: 187it [16:51, 21.92it/s, Loss=5.0451, Acc=0.1888, PPL=180.6, LR=1.00e-03]
